2014 11 14,NY Islander,4,Florida,3,O2,
2014 11 14,Detroit,4,Chicago,1
2014 11 14,Arizona,5,Vancouver,0
2014 11 15,Boston,2,Carolina,1
2014 11 15,Minnesota,2,Dallas,1
2014 11 15,Los Angeles,3,Anaheim,2,O1,
2014 11 15,Pittsburgh,3,NY Rangers,2,O2,
2014 11 15,Columbus,2,San Jose,1
2014 11 15,Nashville,2,Winnipeg,1
2014 11 15,Buffalo,6,Toronto,2
2014 11 15,Tamp Bay,5,NY Islande,2
2014 11 15,Colorado,3,New Jersey,2
2014 11 15,Montreal,6,Philadelph,3
2014 11 15,St Louis,4,Washington,1
2014 11 15,Calgary,4,Ottawa,2
2014 11 16,San Jose,2,Carolina,0
2014 11 16,Minnesota,4,Winnipeg,3,O1,
2014 11 16,Chicago,6,Dallas,2
2014 11 16,Montreal,4,Detroit,1
2014 11 16,Florida,6,Anaheim,2
2014 11 16,Arizona,2,Edmonton,1
2014 11 17,Tamp Bay,5,NY Rangers,1
2014 11 18,Detroit,5,Columbus,0
2014 11 18,Boston,2,St Louis,0
2014 11 18,NY Islander,5,Tamp Bay,2
2014 11 18,Buffalo,4,San Jose,1
2014 11 18,Nashville,9,Toronto,2
2014 11 18,Pittsburgh,4,Montreal,0
2014 11 18,Winnipeg,3,New Jersey,1
2014 11 18,Carolina,6,Dallas,4
2014 11 18,Washington,2,Arizona,1,O1,
2014 11 18,Calgary,4,Anaheim,3,O2,
2014 11 18,Los Angeles,5,Florida,2
2014 11 19,Vancouver,5,Edmonton,4
2014 11 19,NY Rangers,2,Philadelph,0
2014 11 20,Minnesota,3,Philadelph,2
2014 11 20,Ottawa,3,Nashville,2
2014 11 20,Montreal,4,St Louis,1
2014 11 20,Toronto,5,Tamp Bay,2
2014 11 20,Detroit,4,Winnipeg,3
2014 11 20,Dallas,3,Arizona,1
2014 11 20,Chicago,4,Calgary,3
2014 11 20,Washington,3,Colorado,2
2014 11 20,Anaheim,4,Vancouver,3,O2,
2014 11 20,Florida,3,San Jose,2,O2,
2014 11 20,Los Angeles,3,Carolina,2
2014 11 21,Boston,4,Columbus,3,O2,
2014 11 21,NY Islander,5,Pittsburgh,4,O2,
2014 11 21,New Jersey,2,Edmonton,0
2014 11 22,St Louis,3,Ottawa,2
2014 11 22,Buffalo,2,Washington,1
2014 11 22,Montreal,2,Boston,0
2014 11 22,Toronto,4,Detroit,1
2014 11 22,NY Islander,4,Pittsburgh,1
2014 11 22,Philadelphi,4,Columbus,2
2014 11 22,Tamp Bay,2,Minnesota,1
2014 11 22,Dallas,5,Los Angele,4
2014 11 22,Nashville,3,Florida,2,O2,
2014 11 22,Colorado,4,Carolina,3
2014 11 22,Calgary,5,New Jersey,4,O2,
2014 11 22,Chicago,7,Edmonton,1
2014 11 22,Arizona,4,San Jose,3,O2,
2014 11 23,St Louis,4,Winnipeg,2
2014 11 23,NY Rangers,5,Montreal,0
2014 11 23,Anaheim,2,Arizona,1
2014 11 23,Vancouver,4,Chicago,1
2014 11 24,Pittsburgh,3,Boston,2,O1,
2014 11 24,NY Islander,1,Philadelph,0,O2,
2014 11 24,Minnesota,4,Florida,1
2014 11 24,Detroit,4,Ottawa,3
2014 11 25,Winnipeg,4,Columbus,2
2014 11 25,Nashville,4,Los Angele,3,O2,
2014 11 25,Ottawa,3,St Louis,2,O2,
2014 11 25,Dallas,3,Edmonton,2
2014 11 25,Colorado,4,Arizona,3,O1,
2014 11 25,Vancouver,2,New Jersey,0
2014 11 25,Anaheim,3,Calgary,2
2014 11 26,Winnipeg,2,Buffalo,1
2014 11 26,NY Islander,3,Washington,2,O1,
2014 11 26,Tamp Bay,4,NY Rangers,3
2014 11 26,Pittsburgh,4,Toronto,3,O1,
2014 11 26,Detroit,5,Philadelph,2
2014 11 26,Florida,1,Carolina,0
2014 11 26,Los Angeles,4,Minnesota,0
2014 11 26,Chicago,3,Colorado,2
2014 11 26,Calgary,2,San Jose,0
2014 11 27,Nashville,1,Edmonton,0,O1,
2014 11 28,NY Rangers,3,Philadelph,0
2014 11 28,Chicago,4,Anaheim,1
2014 11 28,Washington,5,NY Islande,2
2014 11 28,Boston,2,Winnipeg,1,O1,
2014 11 28,Buffalo,2,Montreal,1
2014 11 28,Vancouver,5,Columbus,0
2014 11 28,Carolina,4,Pittsburgh,2
2014 11 28,Detroit,5,New Jersey,4,O2,
2014 11 28,Florida,3,Ottawa,2
2014 11 28,St Louis,4,Edmonton,3,O1,
2014 11 28,Minnesota,5,Dallas,4,O1,
2014 11 29,Toronto,6,Washington,2
2014 11 29,NY Rangers,5,Philadelph,2
2014 11 29,NY Islander,3,New Jersey,1
2014 11 29,Pittsburgh,3,Carolina,2
2014 11 29,Buffalo,4,Montreal,3,O2,
2014 11 29,Tamp Bay,4,Ottawa,1
2014 11 29,Nashville,2,Columbus,1
2014 11 29,St Louis,3,Minnesota,2,O2,
2014 11 29,Colorado,5,Dallas,2
2014 11 29,Calgary,3,Arizona,0
2014 11 29,Chicago,4,Los Angele,1
2014 11 29,San Jose,6,Anaheim,4
2014 11 30,Detroit,5,Vancouver,3
2014 12 01,Columbus,2,Florida,1
2014 12 01,Tamp Bay,6,NY Rangers,3
2014 12 01,Montreal,4,Colorado,3
2014 12 01,Arizona,5,Edmonton,2
2014 12 01,Anaheim,3,Boston,2
2014 12 02,NY Islander,3,Ottawa,2,O1,
2014 12 02,Pittsburgh,1,New Jersey,0
2014 12 02,Vancouver,4,Washington,3
2014 12 02,Carolina,2,Nashville,1
2014 12 02,Florida,4,Detroit,3
2014 12 02,Buffalo,2,Tamp Bay,1,O2,
2014 12 02,Toronto,5,Dallas,3
2014 12 02,Calgary,5,Arizona,2
2014 12 02,San Jose,2,Philadelph,1
2014 12 02,Los Angeles,2,Boston,0
2014 12 03,Minnesota,2,Montreal,1
2014 12 03,Chicago,4,St Louis,1
2014 12 03,Winnipeg,3,Edmonton,2,O1,
2014 12 03,Anaheim,5,Philadelph,4,O2,
2014 12 04,Vancouver,3,Pittsburgh,0
2014 12 04,Washington,2,Carolina,1
2014 12 04,Tamp Bay,5,Buffalo,0
2014 12 04,Detroit,5,Dallas,2
2014 12 04,New Jersey,5,Toronto,3
2014 12 04,Columbus,4,Florida,3,O2,
2014 12 04,NY Islander,2,Ottawa,1
2014 12 04,Nashville,4,St Louis,3
2014 12 04,Calgary,4,Colorado,3,O1,
2014 12 04,Los Angeles,4,Arizona,0
2014 12 04,San Jose,7,Boston,4
2014 12 05,Winnipeg,6,Colorado,2
2014 12 05,Anaheim,5,Minnesota,4
2014 12 05,Chicago,4,Montreal,3
2014 12 06,Pittsburgh,3,Ottawa,2
2014 12 06,St Louis,6,NY Islande,4
2014 12 06,Philadelphi,2,Los Angele,1
2014 12 06,Florida,3,Buffalo,2
2014 12 06,Detroit,3,NY Rangers,2
2014 12 06,Columbus,3,Tamp Bay,1
